Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,CA,PE,,,1,specimens,,S,W
2014,I,Acipenser brevirostrum,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,CA,US,,18,,specimens,g,S,W
2014,I,Acipenser brevirostrum,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,US,CA,,,0.25,eggs (live),kg,S,C
2014,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,CA,US,1,,specimens,,S,C
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CA,US,2,,specimens,,S,C
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,DE,CR,,300,300,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,10,specimens,cm3,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,410,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,teeth,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,35,hair,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,6,,specimens,g,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,6,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,PA,,52,,specimens,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,10,specimens,cm3,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,410,specimens,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,teeth,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,246,specimens,,S,W
2014,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,DE,CR,,,200,specimens,,S,W
2014,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,US,CR,,,11,specimens,,S,W
2014,I,Ateles geoffroyi frontatus,Mammalia,Primates,Atelidae,Ateles,US,CR,,11,,specimens,g,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,50,,skin pieces,,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,0.5,specimens,kg,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,US,,,1,specimens,,S,W
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,JP,,120,,specimens,,S,W
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,AU,,1,specimens,,S,W
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,MG,,5,3,specimens,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,2,bone pieces,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,18,skin pieces,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,,,1,specimens,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,XX,1,,bone pieces,,S,I
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,8,,specimens,,S,I
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,3,,specimens,,S,W
2014,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,,,1,specimens,,S,W
2014,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,1,,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,3,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CL,XX,US,120,,bone pieces,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,,27,specimens,g,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,38,38,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,10,,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,GL,,,3,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,6,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,AQ,,2,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,15,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,10,,specimens,,S,W
2014,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,90,,bodies,,S,W
2014,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,1,specimens,,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,US,,,1,specimens,,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,25,,bodies,,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,470,,skin pieces,g,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MG,,41,28,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,CL,,61,,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,FR,,,1,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,US,,,1,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,3,,bodies,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,NO,,,6,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,2,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AU,AQ,17,,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,XX,1,,bone pieces,,S,I
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MG,,3,2,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MX,,165,224,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NZ,,28,,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,121,specimens,,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,750,specimens,g,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,10,,specimens,,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,9,,bodies,,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,GL,,,42,specimens,,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,68,specimens,,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,1,,specimens,,S,W
2014,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,ZZ,,1,,specimens,,S,W
2014,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,HK,,1,,skin pieces,,S,W
2014,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,PH,,1,,specimens,,S,W
2014,I,Balaenopteridae spp.,Mammalia,Cetacea,Balaenopteridae,,US,ZZ,,1,,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,BM,,,6,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CA,BM,,6,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,US,CA,,195,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,US,DO,,132,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,US,,,688,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,BR,EC,,40,,bodies,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,BR,EC,,,41,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,BM,,6,6,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,AQ,,2,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,AU,,3,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,3,3,bones,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,,3,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,FR,MG,,,100,specimens,g,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,GB,NO,,,24,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,LU,EC,,60,60,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,US,CA,,108,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,US,,,510,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,136,,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AU,,23,,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,CA,XX,4,,bone pieces,,S,I
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,MG,,239,38,specimens,,S,W
2014,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,NZ,PF,58,,specimens,,S,W
2014,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,GB,MG,,,6,specimens,,S,W
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ES,IL,,19.5,,specimens,ml,S,F
2014,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,GB,AE,BH,,4,specimens,,S,C
2014,I,Hippotragus niger variani,Mammalia,Artiodactyla,Bovidae,Hippotragus,DK,US,AO,,4,skin pieces,,S,W
2014,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,GB,AE,BH,,2,specimens,,S,C
2014,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,GB,US,,,72,specimens,,S,C
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,IL,,1.5,,specimens,ml,S,F
2014,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,BH,,4,specimens,,S,C
2014,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,AU,OM,,,1000,specimens,,S,C
2014,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ES,IL,,4.5,,specimens,ml,S,F
2014,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,FR,AE,,1,1,specimens,,S,F
2014,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,GB,AE,BH,,4,specimens,,S,C
2014,I,Pantholops hodgsonii,Mammalia,Artiodactyla,Bovidae,Pantholops,US,CH,XX,7,,garments,,S,I
2014,I,Nectophrynoides minutus,Amphibia,Anura,Bufonidae,Nectophrynoides,US,GB,TZ,3,,specimens,,S,W
2014,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,US,AU,XX,1,,specimens,,S,W
2014,I,Cacatua haematuropygia,Aves,Psittaciformes,Cacatuidae,Cacatua,DE,PH,,16,,specimens,,S,W
2014,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,AU,PG,,,1,specimens,,S,W
2014,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,FR,ZA,,5,5,specimens,,S,C
2014,I,Obregonia denegrii,,Caryophyllales,Cactaceae,Obregonia,GB,MX,,,200,seeds,g,S,W
2014,I,Pelecyphora strobiliformis,,Caryophyllales,Cactaceae,Pelecyphora,GB,MX,,,200,seeds,g,S,W
2014,I,Strombocactus disciformis,,Caryophyllales,Cactaceae,Strombocactus,GB,MX,,,200,seeds,g,S,W
2014,I,Turbinicarpus schmiedickeanus,,Caryophyllales,Cactaceae,Turbinicarpus,GB,MX,,,200,seeds,g,S,W
2014,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,US,BR,,,9,specimens,,S,W
2014,I,Gymnogyps californianus,Aves,Falconiformes,Cathartidae,Gymnogyps,US,MX,US,2,,live,,S,C
2014,I,Gymnogyps californianus,Aves,Falconiformes,Cathartidae,Gymnogyps,US,MX,US,1,,specimens,,S,W
2014,I,Leontopithecus chrysopygus,Mammalia,Primates,Cebidae,Leontopithecus,BR,GB,,12,,hair,g,S,C
2014,I,Leontopithecus chrysopygus,Mammalia,Primates,Cebidae,Leontopithecus,BR,GB,,2,,hair,g,S,F
2014,I,Leontopithecus chrysopygus,Mammalia,Primates,Cebidae,Leontopithecus,BR,JE,,,1,hair,,S,C
2014,I,Leontopithecus rosalia,Mammalia,Primates,Cebidae,Leontopithecus,ZA,DK,,2,,specimens,,S,C
2014,I,Saimiri oerstedii,Mammalia,Primates,Cebidae,Saimiri,DE,CR,,100,100,specimens,,S,W
2014,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CI,,1,1,specimens,,S,W
2014,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,LR,,2,,specimens,,S,W
2014,I,Mandrillus leucophaeus,Mammalia,Primates,Cercopithecidae,Mandrillus,DE,CM,,1,,bones,,S,W
2014,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,FR,GA,,,1330,specimens,,S,W
2014,I,Mandrillus sphinx,Mammalia,Primates,Cercopithecidae,Mandrillus,GB,GA,,,10,specimens,,S,W
2014,I,Nasalis larvatus,Mammalia,Primates,Cercopithecidae,Nasalis,CH,SG,,,778,specimens,,S,C
2014,I,Pygathrix nemaeus,Mammalia,Primates,Cercopithecidae,Pygathrix,CH,SG,,,233,specimens,,S,C
2014,I,Pygathrix nemaeus,Mammalia,Primates,Cercopithecidae,Pygathrix,US,SG,,,7,specimens,,S,C
2014,I,Blastocerus dichotomus,Mammalia,Artiodactyla,Cervidae,Blastocerus,CA,BR,,,150,derivatives,,S,C
2014,I,Dama dama mesopotamica,Mammalia,Artiodactyla,Cervidae,Dama,ES,IL,,81,,specimens,ml,S,F
2014,I,Cheirogaleus crossleyi,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,US,MG,,28,,hair,,S,W
2014,I,Cheirogaleus crossleyi,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,US,MG,,143,,specimens,,S,W
2014,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,,14,hair,g,S,W
2014,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,,100,specimens,mg,S,W
2014,I,Cheirogaleus medius,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,DE,MG,,450,450,specimens,,S,W
2014,I,Cheirogaleus sibreei,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,US,MG,,6,,hair,,S,W
2014,I,Cheirogaleus sibreei,Mammalia,Primates,Cheirogaleidae,Cheirogaleus,US,MG,,42,,specimens,,S,W
2014,I,Microcebus spp.,Mammalia,Primates,Cheirogaleidae,Microcebus,DE,MG,,,8.04,hair,mg,S,W
