Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,MD,KZ,,1,,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,AU,NZ,,,2,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,AU,US,,,1,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CA,JP,,1,2,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CA,JP,,1,,live,,Z,F
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CL,JP,,,2,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,IL,FR,,,2,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,IM,GB,,1,,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,JP,NL,NL,,1,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,JP,NL,,2,1,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NL,JP,,2,,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,RU,IE,,,1,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,SG,NZ,,1,1,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,TH,JP,,,2,live,,Z,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,TR,DK,,2,2,live,,Z,C
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,NO,DK,,,3,live,,Z,C
2014,I,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,CH,DE,,,2,live,,Z,C
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AM,AE,,,2,live,,Z,F
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,EE,RU,,1,,live,,Z,C
2014,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,CA,,3,3,live,,Z,C
2014,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,18,live,,Z,C
2014,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,DE,SG,,,2,live,,Z,C
2014,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,GB,,2,,live,,Z,U
2014,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,DE,SG,,,4,live,,Z,C
2014,I,Probosciger aterrimus,Aves,Psittaciformes,Cacatuidae,Probosciger,GR,PH,,3,,live,,Z,C
2014,I,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,DK,CH,,1,,live,,Z,C
2014,I,Speothos venaticus,Mammalia,Carnivora,Canidae,Speothos,JP,DK,,1,1,live,,Z,C
2014,I,Gymnogyps californianus,Aves,Falconiformes,Cathartidae,Gymnogyps,MX,US,,3,2,live,,Z,F
